event_id,user_id,username,session_id,timestamp,event_type,location_city,device,is_repeat_session,session_number,account_balance_usd,recent_pages_viewed,recent_pricing_views,gender,time_on_page_sec,scroll_depth_pct,bounce_flag,spam_flag
e000001,u0000,mike_t_00,s8129,2026-01-27T04:37:24,doc_download,New York,mobile,0,1,0.0,11,0,female,0,,0,0
e000002,u0000,mike_t_00,s8129,2026-01-04T18:42:55,search,New York,desktop,0,1,0.0,11,0,female,0,,0,0
e000003,u0000,mike_t_00,s2176,2026-01-01T05:06:54,doc_download,New York,desktop,1,2,0.0,11,0,female,0,,0,0
e000004,u0000,mike_t_00,s2176,2026-01-29T14:04:11,pricing_page_view,New York,mobile,1,2,0.0,11,0,female,40,24,0,0
e000005,u0000,mike_t_00,s2176,2026-01-17T19:36:24,chat_message,New York,mobile,1,2,0.0,11,0,female,0,,0,0
e000006,u0000,mike_t_00,s2176,2025-12-31T21:18:04,chat_message,New York,mobile,1,2,0.0,11,0,female,0,,0,0
e000007,u0000,mike_t_00,s2176,2026-01-08T01:35:35,pricing_page_view,New York,mobile,1,2,0.0,11,0,female,32,70,0,0
e000008,u0000,mike_t_00,s1467,2026-01-02T15:15:01,search,New York,desktop,1,3,0.0,11,0,female,0,,1,0
e000009,u0000,mike_t_00,s2419,2026-01-07T17:44:53,page_view,New York,mobile,1,4,0.0,11,0,female,34,39,0,0
e000010,u0000,mike_t_00,s2419,2026-01-08T08:54:57,page_view,New York,mobile,1,4,0.0,11,0,female,44,38,0,0
e000011,u0000,mike_t_00,s2419,2026-01-08T15:16:36,search,New York,mobile,1,4,0.0,11,0,female,0,,0,0
e000012,u0000,mike_t_00,s2419,2026-01-24T22:57:51,page_view,New York,mobile,1,4,0.0,11,0,female,119,36,0,0
e000013,u0000,mike_t_00,s2419,2026-01-02T05:21:31,search,New York,mobile,1,4,0.0,11,0,female,0,,0,0
e000014,u0000,mike_t_00,s3346,2026-01-28T07:12:49,search,New York,desktop,1,5,0.0,11,0,female,0,,0,0
e000015,u0000,mike_t_00,s3346,2026-01-30T11:47:23,pricing_page_view,New York,desktop,1,5,0.0,11,0,female,57,68,0,0
e000016,u0000,mike_t_00,s3346,2026-01-13T02:08:03,doc_download,New York,desktop,1,5,0.0,11,0,female,0,,0,0
e000017,u0000,mike_t_00,s3346,2026-01-24T00:49:06,chat_message,New York,mobile,1,5,0.0,11,0,female,0,,0,0
e000018,u0000,mike_t_00,s3346,2026-01-21T17:03:22,search,New York,mobile,1,5,0.0,11,0,female,0,,0,0
e000019,u0000,mike_t_00,s3346,2026-01-03T20:06:04,page_view,New York,desktop,1,5,0.0,11,0,female,79,22,0,0
e000020,u0000,mike_t_00,s3346,2026-01-18T06:22:21,chat_message,New York,mobile,1,5,0.0,11,0,female,0,,0,0
e000021,u0001,ethan_c_01,s3259,2026-01-21T13:42:57,page_view,Toronto,mobile,0,1,524.37,5,2,female,83,63,0,0
e000022,u0001,ethan_c_01,s3259,2026-01-11T02:19:00,search,Toronto,mobile,0,1,524.37,5,2,female,0,,0,0
e000023,u0001,ethan_c_01,s3259,2026-01-24T18:37:54,page_view,Toronto,desktop,0,1,524.37,5,2,female,69,37,0,0
e000024,u0001,ethan_c_01,s1291,2026-01-13T10:33:41,demo_request_click,Toronto,mobile,1,2,524.37,5,2,female,0,,0,0
e000025,u0001,ethan_c_01,s1291,2026-01-05T00:03:48,demo_request_click,Toronto,mobile,1,2,524.37,5,2,female,0,,0,0
e000026,u0001,ethan_c_01,s1291,2026-01-31T00:16:09,chat_message,Toronto,desktop,1,2,524.37,5,2,female,0,,0,0
e000027,u0001,ethan_c_01,s1291,2026-01-13T13:18:44,doc_download,Toronto,desktop,1,2,524.37,5,2,female,0,,0,0
e000028,u0001,ethan_c_01,s1291,2026-01-10T17:04:45,doc_download,Toronto,mobile,1,2,524.37,5,2,female,0,,0,0
e000029,u0001,ethan_c_01,s1291,2026-01-11T08:53:59,pricing_page_view,Toronto,desktop,1,2,524.37,5,2,female,86,72,0,0
e000030,u0001,ethan_c_01,s1291,2026-01-19T12:55:24,pricing_page_view,Toronto,desktop,1,2,524.37,5,2,female,62,35,0,0
e000031,u0001,ethan_c_01,s1291,2026-01-14T17:22:01,doc_download,Toronto,desktop,1,2,524.37,5,2,female,0,,0,0
e000032,u0001,ethan_c_01,s2102,2026-01-10T04:42:34,pricing_page_view,Toronto,desktop,1,3,524.37,5,2,female,43,10,0,0
e000033,u0001,ethan_c_01,s2102,2026-01-22T15:41:49,demo_request_click,Toronto,desktop,1,3,524.37,5,2,female,0,,0,0
e000034,u0001,ethan_c_01,s2102,2026-01-15T07:24:43,signup,Toronto,mobile,1,3,524.37,5,2,female,0,,0,0
e000035,u0001,ethan_c_01,s2102,2026-01-16T04:12:47,signup,Toronto,desktop,1,3,524.37,5,2,female,0,,0,0
e000036,u0001,ethan_c_01,s2102,2026-01-25T23:46:25,demo_request_click,Toronto,mobile,1,3,524.37,5,2,female,0,,0,0
e000037,u0001,ethan_c_01,s2102,2026-01-08T04:04:00,pricing_page_view,Toronto,desktop,1,3,524.37,5,2,female,99,46,0,0
e000038,u0001,ethan_c_01,s7378,2026-01-18T03:58:02,page_view,Toronto,mobile,1,4,524.37,5,2,female,105,35,0,0
e000039,u0001,ethan_c_01,s7378,2026-01-05T18:27:17,search,Toronto,mobile,1,4,524.37,5,2,female,0,,0,0
e000040,u0001,ethan_c_01,s7378,2026-01-18T18:57:03,page_view,Toronto,mobile,1,4,524.37,5,2,female,88,31,0,0
e000041,u0001,ethan_c_01,s7378,2026-01-03T02:01:32,pricing_page_view,Toronto,desktop,1,4,524.37,5,2,female,77,16,0,0
e000042,u0001,ethan_c_01,s7378,2026-01-11T03:51:52,page_view,Toronto,desktop,1,4,524.37,5,2,female,96,25,0,0
e000043,u0001,ethan_c_01,s7378,2026-01-21T02:18:08,chat_message,Toronto,desktop,1,4,524.37,5,2,female,0,,0,0
e000044,u0001,ethan_c_01,s7378,2026-01-12T23:03:14,page_view,Toronto,desktop,1,4,524.37,5,2,female,85,35,0,0
e000045,u0002,jordan_m_02,s5206,2026-01-22T12:51:39,page_view,Bangalore,desktop,0,1,0.0,5,5,male,102,55,0,0
e000046,u0002,jordan_m_02,s5206,2026-01-26T01:57:18,page_view,Bangalore,mobile,0,1,0.0,5,5,male,59,22,0,0
e000047,u0002,jordan_m_02,s5206,2026-01-23T21:59:28,page_view,Bangalore,desktop,0,1,0.0,5,5,male,108,90,0,0
e000048,u0002,jordan_m_02,s5206,2026-01-20T15:59:22,search,Bangalore,mobile,0,1,0.0,5,5,male,0,,0,0
e000049,u0002,jordan_m_02,s5206,2026-01-13T14:45:03,page_view,Bangalore,mobile,0,1,0.0,5,5,male,95,84,0,0
e000050,u0002,jordan_m_02,s5206,2026-01-11T05:10:19,pricing_page_view,Bangalore,mobile,0,1,0.0,5,5,male,30,43,0,0
e000051,u0002,jordan_m_02,s5206,2026-01-23T16:59:36,chat_message,Bangalore,desktop,0,1,0.0,5,5,male,0,,0,0
e000052,u0002,jordan_m_02,s5668,2026-01-01T10:57:40,search,Bangalore,mobile,1,2,0.0,5,5,male,0,,0,0
e000053,u0002,jordan_m_02,s5668,2026-01-07T23:16:27,page_view,Bangalore,desktop,1,2,0.0,5,5,male,70,75,0,0
e000054,u0002,jordan_m_02,s5668,2026-01-26T21:29:03,page_view,Bangalore,mobile,1,2,0.0,5,5,male,17,50,0,0
e000055,u0002,jordan_m_02,s5668,2026-01-24T12:40:18,page_view,Bangalore,mobile,1,2,0.0,5,5,male,97,45,0,0
e000056,u0002,jordan_m_02,s5668,2026-01-10T13:22:06,page_view,Bangalore,mobile,1,2,0.0,5,5,male,40,84,0,0
e000057,u0002,jordan_m_02,s5897,2026-01-10T10:05:44,doc_download,Bangalore,mobile,1,3,0.0,5,5,male,0,,0,0
e000058,u0002,jordan_m_02,s5897,2026-01-21T03:44:46,page_view,Bangalore,mobile,1,3,0.0,5,5,male,40,71,0,0
e000059,u0002,jordan_m_02,s5897,2026-01-17T03:39:52,pricing_page_view,Bangalore,desktop,1,3,0.0,5,5,male,74,75,0,0
e000060,u0002,jordan_m_02,s5897,2026-01-26T05:22:18,page_view,Bangalore,desktop,1,3,0.0,5,5,male,78,17,0,0
e000061,u0002,jordan_m_02,s5897,2026-01-07T03:42:36,search,Bangalore,desktop,1,3,0.0,5,5,male,0,,0,0
e000062,u0002,jordan_m_02,s5897,2026-01-28T12:54:56,search,Bangalore,mobile,1,3,0.0,5,5,male,0,,0,0
e000063,u0002,jordan_m_02,s9717,2026-01-04T02:27:47,page_view,Bangalore,desktop,1,4,0.0,5,5,male,40,7,0,0
e000064,u0002,jordan_m_02,s9717,2026-01-06T10:05:54,doc_download,Bangalore,desktop,1,4,0.0,5,5,male,0,,0,0
e000065,u0002,jordan_m_02,s9717,2026-01-27T14:18:18,search,Bangalore,desktop,1,4,0.0,5,5,male,0,,0,0
e000066,u0003,liam_h_03,s4396,2026-01-15T03:59:00,page_view,New York,desktop,0,1,230.02,15,0,non_binary,39,25,0,0
e000067,u0003,liam_h_03,s4396,2026-01-16T01:30:28,page_view,New York,mobile,0,1,230.02,15,0,non_binary,79,87,0,0
e000068,u0003,liam_h_03,s4396,2026-01-07T04:05:40,page_view,New York,mobile,0,1,230.02,15,0,non_binary,43,32,0,0
e000069,u0003,liam_h_03,s4396,2026-01-14T01:06:00,search,New York,desktop,0,1,230.02,15,0,non_binary,0,,0,0
