user_id,username,location_city,gender,primary_device,account_balance_usd,recent_pages_viewed,recent_pricing_views,total_events,total_sessions,repeat_sessions,repeat_session_rate,bounces,bounce_rate,spam_sessions,spam_rate,page_views,pricing_page_views,search_events,chat_messages,doc_downloads,demo_request_clicks,signups,calendar_bookings,last_event_ts,days_since_last_event,converted,score,score_label,explanation,feature_contributions
u0000,mike_t_00,New York,female,desktop,0.0,11,0,20,5,4,0.8,1,0.2,0,0.0,4,3,6,4,3,0,0,0,2026-01-30 11:47:23+00:00,0.5478027737037037,0,12.6,low,repeat_session_rate (+5.0 pts) + pricing_page_views (+4.8 pts) + recent_pages_viewed (+1.5 pts),"{""signups"": 0.0, ""calendar_bookings"": 0.0, ""demo_request_clicks"": 0.0, ""pricing_page_views"": 4.8, ""page_views"": 1.333, ""repeat_session_rate"": 5.0, ""account_balance_usd"": 0.0, ""recent_pages_viewed"": 1.467}"
u0001,ethan_c_01,Toronto,female,desktop,524.37,5,2,24,4,3,0.75,0,0.0,0,0.0,6,5,2,2,3,4,2,0,2026-01-31 00:16:09+00:00,0.02782592185185185,0,65.21,medium,signups (+30.0 pts) + demo_request_clicks (+15.0 pts) + pricing_page_views (+8.0 pts),"{""signups"": 30.0, ""calendar_bookings"": 0.0, ""demo_request_clicks"": 15.0, ""pricing_page_views"": 8.0, ""page_views"": 2.0, ""repeat_session_rate"": 4.999, ""account_balance_usd"": 4.542, ""recent_pages_viewed"": 0.667}"
u0002,jordan_m_02,Bangalore,male,desktop,0.0,5,5,21,4,3,0.75,0,0.0,0,0.0,11,2,5,1,2,0,0,0,2026-01-28 12:54:56+00:00,2.5008930514814813,0,12.43,low,repeat_session_rate (+4.9 pts) + page_views (+3.7 pts) + pricing_page_views (+3.2 pts),"{""signups"": 0.0, ""calendar_bookings"": 0.0, ""demo_request_clicks"": 0.0, ""pricing_page_views"": 3.2, ""page_views"": 3.667, ""repeat_session_rate"": 4.896, ""account_balance_usd"": 0.0, ""recent_pages_viewed"": 0.667}"
u0003,liam_h_03,New York,non_binary,desktop,230.02,15,0,19,4,3,0.75,0,0.0,0,0.0,11,2,4,0,2,0,0,0,2026-01-29 22:47:35+00:00,1.0893305514814815,0,17.77,low,repeat_session_rate (+5.0 pts) + account_balance_usd (+3.9 pts) + page_views (+3.7 pts),"{""signups"": 0.0, ""calendar_bookings"": 0.0, ""demo_request_clicks"": 0.0, ""pricing_page_views"": 3.2, ""page_views"": 3.667, ""repeat_session_rate"": 4.955, ""account_balance_usd"": 3.946, ""recent_pages_viewed"": 2.0}"
u0004,ethan_c_04,New York,male,mobile,315.23,13,2,13,2,1,0.5,0,0.0,0,0.0,7,2,3,1,0,0,0,0,2026-01-28 20:07:13+00:00,2.200696292222222,0,15.1,low,account_balance_usd (+4.2 pts) + repeat_session_rate (+3.7 pts) + pricing_page_views (+3.2 pts),"{""signups"": 0.0, ""calendar_bookings"": 0.0, ""demo_request_clicks"": 0.0, ""pricing_page_views"": 3.2, ""page_views"": 2.333, ""repeat_session_rate"": 3.658, ""account_balance_usd"": 4.174, ""recent_pages_viewed"": 1.733}"
u0005,noah_b_05,San Francisco,non_binary,desktop,39.73,2,2,23,5,4,0.8,1,0.2,0,0.0,10,2,6,1,2,0,1,1,2026-01-27 07:56:16+00:00,3.7083004588888886,1,74.49,high,signups (+30.0 pts) + calendar_bookings (+30.0 pts) + repeat_session_rate (+5.0 pts),"{""signups"": 30.0, ""calendar_bookings"": 30.0, ""demo_request_clicks"": 0.0, ""pricing_page_views"": 3.2, ""page_views"": 3.333, ""repeat_session_rate"": 5.0, ""account_balance_usd"": 2.688, ""recent_pages_viewed"": 0.267}"
u0006,liam_h_06,London,non_binary,desktop,63.97,7,1,14,3,2,0.6666666666666666,1,0.3333333333333333,0,0.0,11,1,2,0,0,0,0,0,2026-01-28 16:15:50+00:00,2.3613791625925926,0,13.71,low,repeat_session_rate (+4.5 pts) + page_views (+3.7 pts) + account_balance_usd (+3.0 pts),"{""signups"": 0.0, ""calendar_bookings"": 0.0, ""demo_request_clicks"": 0.0, ""pricing_page_views"": 1.6, ""page_views"": 3.667, ""repeat_session_rate"": 4.485, ""account_balance_usd"": 3.026, ""recent_pages_viewed"": 0.933}"
u0007,chris_j_07,Toronto,undisclosed,mobile,0.0,6,4,1,1,0,0.0,1,1.0,0,0.0,0,0,0,1,0,0,0,0,2026-01-25 07:36:24+00:00,5.722096755185185,0,1.81,low,repeat_session_rate (+1.0 pts) + recent_pages_viewed (+0.8 pts),"{""signups"": 0.0, ""calendar_bookings"": 0.0, ""demo_request_clicks"": 0.0, ""pricing_page_views"": 0.0, ""page_views"": 0.0, ""repeat_session_rate"": 1.012, ""account_balance_usd"": 0.0, ""recent_pages_viewed"": 0.8}"
u0008,alex_chen_08,Toronto,undisclosed,mobile,411.57,11,2,19,5,4,0.8,0,0.0,0,0.0,6,2,6,1,4,0,0,0,2026-01-30 06:23:11+00:00,0.7729416625925926,0,16.03,low,repeat_session_rate (+5.0 pts) + account_balance_usd (+4.4 pts) + pricing_page_views (+3.2 pts),"{""signups"": 0.0, ""calendar_bookings"": 0.0, ""demo_request_clicks"": 0.0, ""pricing_page_views"": 3.2, ""page_views"": 2.0, ""repeat_session_rate"": 5.0, ""account_balance_usd"": 4.366, ""recent_pages_viewed"": 1.467}"
u0009,ethan_c_09,London,male,desktop,213.69,9,4,6,1,0,0.0,0,0.0,0,0.0,2,2,1,1,0,0,0,0,2026-01-30 05:35:26+00:00,0.8061013848148149,0,10.18,low,account_balance_usd (+3.9 pts) + pricing_page_views (+3.2 pts) + repeat_session_rate (+1.2 pts),"{""signups"": 0.0, ""calendar_bookings"": 0.0, ""demo_request_clicks"": 0.0, ""pricing_page_views"": 3.2, ""page_views"": 0.667, ""repeat_session_rate"": 1.216, ""account_balance_usd"": 3.893, ""recent_pages_viewed"": 1.2}"
